iter	Passed	Remaining
0	114	114783
1	115	57604
2	115	38531
3	116	29093
4	118	23607
5	119	19815
6	120	17040
7	120	14957
8	121	13348
9	121	12068
10	122	11011
11	123	10135
12	123	9392
13	124	8753
14	124	8199
15	125	7720
16	126	7296
17	126	6915
18	127	6576
19	127	6271
20	128	5995
21	129	5740
22	129	5506
23	130	5294
24	130	5103
25	131	4928
26	132	4769
27	133	4623
28	133	4480
29	134	4350
30	135	4227
31	135	4109
32	136	3997
33	136	3892
34	137	3792
35	138	3697
36	138	3612
37	139	3529
38	139	3448
39	140	3369
40	140	3295
41	141	3223
42	141	3156
43	142	3090
44	142	3027
45	143	2968
46	143	2911
47	144	2856
48	144	2803
49	144	2754
50	145	2706
51	145	2660
52	146	2615
53	146	2571
54	147	2529
55	147	2488
56	148	2449
57	148	2413
58	149	2377
59	149	2342
60	149	2308
61	150	2275
62	150	2243
63	151	2212
64	151	2182
65	152	2153
66	152	2125
67	153	2097
68	153	2070
69	153	2044
70	154	2018
71	154	1994
72	155	1970
73	155	1946
74	156	1924
75	156	1902
76	156	1880
77	157	1859
78	157	1839
79	158	1819
80	158	1800
81	159	1781
82	159	1760
83	159	1742
84	160	1724
85	160	1707
86	161	1690
87	161	1673
88	161	1657
89	162	1641
90	162	1626
91	163	1611
92	163	1596
93	164	1582
94	164	1568
95	165	1554
96	165	1540
97	165	1527
98	166	1513
99	166	1501
100	167	1488
101	167	1475
102	168	1463
103	168	1451
104	168	1439
105	169	1428
106	169	1416
107	170	1405
108	170	1395
109	171	1384
110	171	1373
111	171	1363
112	172	1353
113	172	1343
114	173	1333
115	173	1323
116	174	1313
117	174	1304
118	174	1294
119	175	1285
120	175	1276
121	176	1267
122	176	1258
123	176	1249
124	177	1242
125	178	1235
126	178	1227
127	178	1219
128	179	1211
129	179	1204
130	180	1196
131	180	1189
132	181	1181
133	181	1174
134	182	1167
135	182	1160
136	183	1152
137	183	1146
138	183	1139
139	184	1132
140	184	1125
141	185	1118
142	185	1111
143	185	1105
144	186	1099
145	186	1092
146	187	1086
147	187	1080
148	188	1074
149	188	1068
150	188	1062
151	189	1056
